voc_id;sentence_id
2;7
3;4
4;1
5;5
6;4
7;7
8;4
9;3
10;3
11;4
12;3
13;5
14;113
15;4
16;6
17;4
18;6
19;1
20;4
20;114
21;4
22;4
23;2
24;1
25;2
25;113
26;10
27;11
28;14
29;11
30;11
31;10
32;10
33;12
33;44
34;9
35;12
36;13
37;13
38;14
39;11
40;11
41;13
42;11
43;8
43;11
44;8
45;10
46;8
47;12
48;11
49;11
50;14
51;11
52;18
53;15
54;19
55;19
56;17
57;15
58;19
59;16
60;20
61;21
62;20
63;20
64;16
65;19
66;16
67;20
68;18
69;21
70;17
71;18
72;18
73;18
74;15
75;17
76;21
77;17
78;18
79;18
80;16
81;18
82;18
83;25
84;23
84;65
85;28
86;24
87;27
88;23
89;28
90;25
91;24
92;25
93;25
94;23
95;27
96;25
97;26
98;28
99;25
100;24
101;25
102;25
103;22
104;26
105;22
106;27
107;25
108;28
108;50
109;26
110;22
111;31
112;32
113;32
114;32
115;31
116;35
117;31
118;32
119;29
120;32
121;30
122;29
123;32
125;30
126;32
127;35
128;30
129;33
130;33
131;33
132;32
133;29
134;35
136;34
137;40
138;37
139;38
140;39
141;39
142;40
144;41
145;37
146;41
148;38
149;42
151;32
151;39
154;37
155;42
156;36
157;39
158;36
159;41
160;36
161;39
164;39
165;38
168;45
169;45
170;46
171;49
172;46
173;48
174;48
175;46
177;46
177;49
178;49
179;44
180;46
181;43
182;46
185;48
186;46
187;47
188;46
189;47
189;48
190;43
191;46
192;43
194;47
194;50
195;45
196;56
197;50
198;50
199;52
200;53
201;51
202;52
204;51
205;53
206;54
207;53
208;53
209;54
210;54
211;55
212;55
213;56
214;54
215;53
216;51
217;56
218;53
219;54
220;53
221;50
222;51
223;56
224;53
225;51
226;52
227;52
229;53
230;56
231;60
233;60
234;58
235;60
236;57
237;60
238;60
239;63
240;63
241;58
242;60
243;57
244;57
245;61
246;63
247;59
248;59
249;60
250;63
251;62
252;62
253;61
254;58
255;62
256;60
257;67
258;65
259;66
260;64
261;67
263;70
264;66
265;69
266;67
267;67
270;65
271;64
272;68
273;22
275;69
276;66
277;67
278;68
279;64
280;67
282;67
283;66
284;71
286;77
287;74
288;76
289;76
290;75
291;74
292;74
293;71
296;74
297;74
299;73
300;71
301;77
302;73
304;73
305;75
306;74
307;76
309;81
310;79
311;83
312;83
313;82
314;80
315;84
316;81
317;80
318;79
319;81
320;78
321;79
322;81
324;82
325;83
326;78
327;81
328;79
329;84
330;81
331;80
332;89
333;88
334;86
335;91
336;87
337;86
338;85
339;86
340;88
341;86
342;85
343;88
344;86
345;87
346;90
347;90
348;85
349;87
350;88
351;86
352;90
353;88
356;91
357;88
358;88
359;85
360;85
361;95
361;97
364;98
365;94
366;92
367;92
367;96
368;98
369;95
370;95
371;93
372;96
373;95
374;97
375;95
376;96
378;96
379;95
381;93
383;92
384;95
385;93
386;97
387;97
388;94
389;103
390;105
391;100
393;104
394;100
395;101
396;99
398;101
399;99
400;103
401;105
402;102
403;102
404;102
405;102
406;105
407;102
409;100
410;102
411;101
412;104
413;102
414;103
415;108
415;110
416;109
417;110
418;112
419;112
421;106
422;107
423;111
424;109
425;106
426;108
427;109
428;109
429;109
431;109
432;112
433;107
434;106
435;108
436;109
437;107
438;109
439;111
440;106
441;109
1825;130
1826;131
1827;132
1828;133
1829;134
1830;135
1831;136
1832;137
1833;138
1833;219
1834;139
1835;140
1836;141
1837;142
1838;143
1839;144
1840;145
1841;146
1842;147
1843;148
1844;149
1845;150
1846;151
1847;152
1848;153
1849;154
1849;218
1850;155
1851;156
1852;157
1853;158
1854;159
1855;160
1856;161
1857;162
1858;163
1859;164
1860;165
1861;166
1862;167
1863;168
1864;169
1865;170
1866;171
1867;172
1868;173
1869;174
1870;175
1871;176
1872;177
1873;178
1874;179
1875;180
1876;181
1877;182
1878;183
1879;184
1880;185
1881;186
1882;187
1883;188
1884;189
1885;190
1886;191
1887;192
1888;193
1889;194
1890;195
1891;196
1892;197
1893;198
1894;199
1895;200
1896;201
1897;202
1898;203
1899;204
1900;205
1901;206
1902;207
1903;208
1904;209
1905;210
1905;217
1906;211
1907;212
1908;213
1909;214
1910;215
1911;216
